;Création des campagnes;;;;;Équipe;;Informations des campagnes;;;;;;;Delivery & Marge du mois en cours;;;;;;;Vue d'ensemble;;;;MAPPING;;;;;
Campagne;Géo;Entité;Stats;Levier;Statut;Affiliate;Account; Budget ;Début;Fin;Model; Rém. Ann. ; Rém. NET. ; Rém. Éditeur ; Marge ;Objectif;Objectif à date; Budget restant ;Objectif à date;Volume restant;Volume réalisé; CA interne ; CA externe ;% Budget;% Temps passé;Annonceur;Marché;Campagne;Verticale;MARGE €;
Dessange Festival de Cannes;FR;CAR;Tracker ;Emailing;Active;Murah ????;Carolane; 5 000,00 € ;12/05/2026;23/05/2026;CPC; 0,50 € ; 0,50 € ; 0,20 € ;78,47%;10000;8333;2 143,50 €;4 166,67 €;4287;5 713; 2 856,50 € ; 614,88 € ;57%;91%;;;;;;
Dessange Fêtes des mères;FR;CAR;Tracker ;Emailing;Set-up;Murah ????;Carolane; 5 000,00 € ;25/05/2026;02/06/2026;CPC; 0,50 € ; 0,50 € ; 0,20 € ;#DIV/0!;10000;-3333;5 000,00 €;-1 666,67 €;10000;0; -   € ; 614,88 € ;0%;-38%;;;;;;
Dessange Soldes été;FR;CAR;Tracker ;Emailing;Set-up;Murah ????;Carolane; 5 000,00 € ;24/06/2026;21/07/2026;CPC; 0,50 € ; 0,50 € ; 0,20 € ;#DIV/0!;10000;-11786;5 000,00 €;-5 892,86 €;10000;0; -   € ; 614,88 € ;0%;-122%;;;;;;
DS Automobiles B2C EMAIL;FR;CAR;Admin;Emailing;Budget fait;Vincent ????;Estelle; 5 885,00 € ;04/05/2026;31/05/2026;CPL; 55,00 € ; 44,00 € ; 22,00 € ;69,89%;107;69;5 753,00 €;3 783,21 €;-25;132; 5 808,00 € ; 1 749,00 € ;123%;67%;DS AUTOMOBILES;B2C;DS 7;AUTOMOBILE;;
DS Automobiles B2C EMAIL CC;FR;CAR;Admin;Emailing;Budget fait;Philippe ????;Estelle; 5 885,00 € ;04/05/2026;31/05/2026;CPL; 55,00 € ; 44,00 € ; 7,50 € ;82,95%;107;69;5 800,00 €;3 783,21 €;22;85; 3 740,00 € ; 637,50 € ;79%;67%;DS AUTOMOBILES;B2C;DS 7;AUTOMOBILE;;
EDC - INTER;FR;CAR;Leadflow;Social;Active;Yanis ????;Manon; 2 500,00 € ;01/05/2026;31/05/2026;CPL; 25,00 € ; 25,00 € ; 8,66 € ;65,37%;100;68;750,00 €;1 693,55 €;30;70; 1 750,00 € ; 606,00 € ;70%;70%;EDC;B2C;;SERVICES; 1 144,00 € ;
EDC - MSC - FR;FR;CAR;Leadflow;Social;Budget fait;Yanis ????;Manon; 2 500,00 € ;01/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 16,95 € ;66,09%;50;34;-1 100,00 €;1 693,55 €;-22;72; 3 600,00 € ; 1 220,73 € ;144%;70%;EDC;B2C;;SERVICES; 2 379,27 € ;
EDC - PGE;FR;CAR;Leadflow;Social;Budget fait;Yanis ????;Manon; 1 600,00 € ;01/05/2026;31/05/2026;CPL; 80,00 € ; 80,00 € ; 8,63 € ;89,21%;20;14;0,00 €;1 083,87 €;0;20; 1 600,00 € ; 172,67 € ;100%;70%;EDC;B2C;;SERVICES; 1 427,33 € ;
ES - JIMSOL ENERGIA;ES;DAT;Leadflow;Social;Set-up;Yanis ????;Malu; 2 250,00 € ;25/05/2026;31/05/2026;CPL; 30,00 € ; 30,00 € ;#DIV/0!;#DIV/0!;75;-32;2 250,00 €;-964,29 €;75;;;;0%;-50%;JIMSOL ENERGIA;B2C;;ÉNERGIE; -   € ;SET
ES_CAIXABANK_CPC;ES;DAT;Tracker;Emailing;Budget fait;Sammy ????;Malu; 1 050,00 € ;01/05/2026;30/05/2026;CPC; 0,35 € ; 0,35 € ; 0,20 € ;42,86%;3000;2100;-350,00 €;735,00 €;-1000;4 000; 1 400,00 € ; 800,00 € ;133%;72%;;;;;;
ES_ELTEX - Social;ES;DAT;Leadflow;Emulation;Active;Yanis ????;Malu; 8 750,00 € ;01/05/2026;31/05/2026;CPL; 25,00 € ; 25,00 € ; 19,00 € ;14,27%;350;237;5 050,00 €;5 927,42 €;202;148; 3 700,00 € ; 3 172,00 € ;42%;70%;;;;;;
ES_ELTEX_SOLAR;ES;DAT;Leadflow;Emulation;Active;Gabin ????;Malu; 5 000,00 € ;01/05/2026;31/05/2026;CPL; 25,00 € ; 25,00 € ; 19,00 € ;59,54%;200;135;1 975,00 €;3 387,10 €;79;121; 3 025,00 € ; 1 224,00 € ;61%;70%;;;;;;
ES_HALEON-B2B_CPM;ES;DAT;Tracker;Emailing;Budget fait;Gabin ????;Malu; 1 638,00 € ;11/05/2026;11/05/2026;CPM; 26,00 € ; 26,00 € ; 5,00 € ;80,77%;63;693;-442,00 €;18 018,00 €;-17;80; 2 080,00 € ; 400,00 € ;127%;#DIV/0!;MERCEDES;B2C;;AUTOMOBILE; 1 680,00 € ;
ES_PELAYO-VIDA_CPL_Avril25;ES;DAT;Report;Emailing;Active;Sammy ????;Malu; 820,00 € ;01/05/2026;30/05/2026;CPL; 10,00 € ; 10,00 € ; 7,00 € ;53,75%;82;57;420,00 €;574,00 €;42;40; 400,00 € ; 185,00 € ;49%;72%;PELAYO VIDA;B2C;;BANQUE & ASSURANCE; 215,00 € ;
ES_SECURITAS-DIRECT_CPL;ES;DAT;Tracker;Emailing;Budget fait;Gabin ????;Malu; 1 050,00 € ;05/05/2026;31/05/2026;CPL; 14,00 € ; 14,00 € ; 8,00 € ;42,86%;75;47;970,00 €;661,11 €;-5;80; 1 120,00 € ; 640,00 € ;107%;65%;SECURITAS;B2C;;SÉCURITÉ; 480,00 € ;
FIAT PRO;FR;CAR;Leadflow;Emailing;Active;Vincent ????;Estelle; 6 120,00 € ;;31/05/2026;CPL; 120,00 € ; 96,00 € ;;100,00%;51;51;5 160,00 €;6 118,67 €;41;10; 960,00 € ; -   € ;20%;100%;FIAT;B2B;PRO;AUTOMOBILE;;
FORD E-Transit EMAIL;FR;CAR;Leadflow;Emailing;Active;Vincent ????;Manon; 8 000,00 € ;20/05/2026;31/05/2026;CPL; 80,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;100;17;8 000,00 €;1 333,33 €;100;;;;0%;18%;FORD;B2B;E-Transit;AUTOMOBILE;;
FORD E-Transit SOCIAL;FR;CAR;Leadflow;Social;Set-up;Yanis ????;Manon; 4 800,00 € ;20/05/2026;31/05/2026;CPL; 80,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;60;10;4 800,00 €;800,00 €;60;;;;0%;18%;FORD;B2B;E-Transit;AUTOMOBILE;;
FORD Explorer;FR;CAR;Tracker ;Emailing;Active;Vincent ????;Manon; 2 000,00 € ;11/05/2026;31/05/2026;CPL; 55,00 € ; 55,00 € ; 25,00 € ;54,55%;36;19;405,00 €;1 047,62 €;7;29; 1 595,00 € ; 725,00 € ;80%;55%;FORD;B2C;Explorer;AUTOMOBILE;;
FORD GEN E EMAIL;FR;CAR;Tracker ;Emailing;Budget fait;Vincent ????;Manon; 1 000,00 € ;11/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 25,00 € ;48,00%;20;10;0,00 €;523,81 €;0;20; 1 000,00 € ; 520,00 € ;100%;55%;FORD;B2C;GEN E;AUTOMOBILE;;
FORD GEN E EMAIL CC;FR;CAR;Tracker ;Emailing;Budget fait;Philippe ????;Manon; 1 000,00 € ;11/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 7,50 € ;85,00%;20;10;-50,00 €;523,81 €;-1;21; 1 050,00 € ; 157,50 € ;105%;55%;FORD;B2C;GEN E;AUTOMOBILE;;
FR_ENI PLENITUDE Email;FR;DAT;Client;Emailing;set-up;Murah ????;Guillaume; 1 250,00 € ;10/03/2026;31/03/2026;CPL; 25,00 € ; 18,00 € ; 18,00 € ;#DIV/0!;50;166;1 250,00 €;4 147,73 €;50;; -   € ; -   € ;0%;Finie;ENI;B2C;;ÉNERGIE; -   € ;SET
FR_ENI PLENITUDE Emul;FR;DAT;Client;Emulation;Active;Murah ????;Guillaume; 7 500,00 € ;21/03/2026;31/03/2026;CPL; 25,00 € ; 18,00 € ; 18,00 € ;#DIV/0!;300;1691;7 500,00 €;42 272,73 €;300;; -   € ; -   € ;0%;Finie;ENI;B2C;;ÉNERGIE; -   € ;
HAVAIANAS_ES_MAY26;ES;DAT;Leadflow;Coreg;Active;Gabin ????;Malu; 2 500,00 € ;11/05/2026;31/05/2026;CPC; 0,55 € ; 0,55 € ; 0,30 € ;45,45%;4545;2381;344,00 €;1 309,52 €;625;3 920; 2 156,00 € ; 1 176,00 € ;86%;55%;;;;;;
HAVAIANAS_FR_MAY26;FR;DAT;Leadflow;Coreg;Active;Vincent ????;Malu; 8 750,00 € ;11/05/2026;31/05/2026;CPC; 0,55 € ; 0,55 € ; 0,30 € ;45,45%;15909;8333;4 735,00 €;4 583,33 €;8609;7 300; 4 015,00 € ; 2 190,00 € ;46%;55%;;;;;;
HAVAIANAS_IT_MAY26;IT;DAT;Leadflow;Coreg;Active;Gabin ????;Malu; 5 000,00 € ;11/05/2026;31/05/2026;CPC; 0,55 € ; 0,55 € ; 0,30 € ;45,45%;9091;4762;1 819,90 €;2 619,05 €;3309;5 782; 3 180,10 € ; 1 734,60 € ;64%;55%;;;;;;
HAVAIANAS_PT_MAY26;PT;DAT;Leadflow;Coreg;Active;Gabin ????;Malu; 2 500,00 € ;11/05/2026;31/05/2026;CPC; 0,55 € ; 0,55 € ; 0,30 € ;45,45%;4545;2381;1 337,30 €;1 309,52 €;2431;2 114; 1 162,70 € ; 634,20 € ;47%;55%;;;;;;
HAVAIANAS_UK_MAY26;UK;DAT;Leadflow;Coreg;Active;Gabin ????;Malu; 6 250,00 € ;11/05/2026;31/05/2026;CPC; 0,75 € ; 0,75 € ; 0,50 € ;33,33%;8333;4365;3 036,25 €;3 273,81 €;4048;4 285; 3 213,75 € ; 2 142,50 € ;51%;55%;;;;;;
HOGAR SOLAR - Externe;ES;DAT;Leadflow;Social;Budget fait;Gabin ????;Malu; 600,00 € ;01/05/2026;31/05/2026;CPL; 24,00 € ; 24,00 € ; 63,20 € ;-163,33%;25;17;0,00 €;406,45 €;0;25; 600,00 € ; 1 580,00 € ;100%;70%;HOGAR SOLAR;B2C;;ÉNERGIE;-980,00 € ;SET
HOGAR SOLAR - SNAPCHAT;ES;DAT;Leadflow;Social;Set-up;Yanis ????;Malu; 12 792,00 € ;01/05/2026;31/05/2026;CPL; 24,00 € ; 24,00 € ;#DIV/0!;#DIV/0!;20;361;12 792,00 €;8 665,55 €;20;0; -   € ; -   € ;0%;70%;HOGAR SOLAR;B2C;;ÉNERGIE; -   € ;SET
HOGAR SOLAR - SOCIAL;ES;DAT;Leadflow;Social;Active;Yanis ????;Malu; 12 312,00 € ;01/05/2026;31/05/2026;CPL; 24,00 € ; 24,00 € ; 12,68 € ;47,17%;505;348;2 976,00 €;8 340,39 €;116;389; 9 336,00 € ; 4 932,00 € ;77%;70%;HOGAR SOLAR;B2C;;ÉNERGIE; 4 404,00 € ;SET
IT_Bper_Conto-Online CPA;IT;ADV;Tracker;Emailing;Active;Sammy ????;Malu; 2 970,00 € ;30/04/2026;30/05/2026;CPA; 330,00 € ; 330,00 € ; 110,00 € ;#DIV/0!;9;6;2 970,00 €;2 107,74 €;9;0; -   € ; 195,00 € ;0%;73%;BPER;;;BANQUE & ASSURANCE;-195,00 € ;
IT_Bper_Mutuo CPL (Generico&Green);IT;ADV;Tracker;Emailing;Active;Sammy ????;Malu; 15 008,00 € ;01/05/2026;28/05/2026;CPL; 16,00 € ; 16,00 € ; 8,00 € ;50,00%;938;704;1 984,00 €;11 256,00 €;124;814; 13 024,00 € ; 6 512,00 € ;87%;78%;BPER;;;BANQUE & ASSURANCE; 6 512,00 € ;
IT_Costa-Crociere_Mai26;IT;DAT;Report;Emailing;Active;Gabin ????;Alexander; 10 000,00 € ;05/05/2026;31/05/2026;CPV; 1,00 € ; 1,00 € ; 0,30 € ;70,00%;10000;6296;3 511,00 €;6 296,30 €;3511;6 489; 6 489,00 € ; 1 946,70 € ;65%;65%;;;;;;
IT_FORD_APPROVED;IT;DAT;Leadflow;Emulation;Active;Gabin ????;Alexander; 2 321,00 € ;01/05/2026;31/05/2026;CPL; 11,00 € ; 11,00 € ; 7,50 € ;31,82%;211;143;2 149,00 €;1 572,29 €;39;172; 1 892,00 € ; 1 290,00 € ;82%;70%;FORD;B2C;;AUTOMOBILE; 602,00 € ;
IT_FORD_APPROVED - Social;IT;DAT;Leadflow;Social;En Pause;Yanis ????;Alexander; 1 375,00 € ;01/05/2026;31/05/2026;CPL; 11,00 € ; 11,00 € ; 42,93 € ;-290,28%;100;85;1 336,00 €;931,45 €;61;39; 429,00 € ; 1 674,31 € ;39%;70%;;;;;;
IT_FORD_BLUE;IT;DAT;Leadflow;Emulation;Active;Gabin ????;Alexander; 1 770,00 € ;01/05/2026;31/05/2026;CPL; 15,00 € ; 15,00 € ; 10,00 € ;33,33%;118;80;1 658,00 €;1 199,03 €;6;112; 1 680,00 € ; 1 120,00 € ;95%;70%;FORD;B2C;;AUTOMOBILE; 560,00 € ;
IT_FORD_BLUE - Social;IT;DAT;Leadflow;Social;En Pause;Yanis ????;Alexander; 1 275,00 € ;01/05/2026;31/05/2026;CPL; 15,00 € ; 15,00 € ; 46,05 € ;-206,98%;58;58;1 223,00 €;863,71 €;6;52; 780,00 € ; 2 394,43 € ;90%;70%;;;;;;
IT_Mazda_3_Apr-May26 Tag A;IT;DAT;Report;Social;Active;Gabin ????;Alexander; 8 349,00 € ;23/04/2026;31/05/2026;CPL; 33,00 € ; 33,00 € ; 15,00 € ;54,55%;253;188;8 141,00 €;6 208,23 €;45;208; 6 864,00 € ; 3 120,00 € ;82%;76%;MAZDA;B2C;;AUTOMOBILE; 3 744,00 € ;
IT_Mazda_CX-30_Apr-May26 Tag A;IT;DAT;Report;Social;Budget fait;Gabin ????;Alexander; 6 600,00 € ;17/04/2026;31/05/2026;CPL; 33,00 € ; 33,00 € ; 15,00 € ;100,00%;200;156;-330,00 €;5 133,33 €;-10;210; 6 930,00 € ;;105%;80%;MAZDA;B2C;;AUTOMOBILE; 6 930,00 € ;
